RESULT ALG RULESETSIZE SEED SMOOTH ADDRESS_SCOPE APP_SCOPE PA PB SCALE AVG MIN_AVG32 MAX_AVG32 MEM_AVG MINMEM_AVG32 MAXMEM_AVG32
RESULT follow 256 acl1_seed 2 0.5 -0.1 1 0.1 1000 126.187990625 46.5624 150.855 1010.375 992 1024
RESULT follow 256 acl1_seed 2 0.5 -0.1 1 0.25 1000 72.36135218749999 9.82567 172.929 1007.0 984 1024
RESULT follow 256 acl1_seed 2 0.5 -0.1 1 0.5 1000 39.6149228125 3.4155300000000004 64.5439 1005.0 980 1024
RESULT follow 256 acl1_seed 2 0.5 -0.1 1 0.75 1000 31.818065625 3.97245 65.1208 1007.375 984 1024
RESULT follow 256 acl1_seed 2 0.5 -0.1 1 1 1000 26.240937187500002 8.31749 39.6167 1006.25 960 1020
RESULT follow 256 acl2_seed 2 0.5 -0.1 1 0.1 1000 145.86615312499998 36.9965 206.071 1001.5 960 1024
RESULT follow 256 acl2_seed 2 0.5 -0.1 1 0.25 1000 102.90002468750001 4.44019 194.38400000000001 1003.875 984 1020
RESULT follow 256 acl2_seed 2 0.5 -0.1 1 0.5 1000 75.64843343749999 1.2109299999999998 125.53 1002.0 984 1020
RESULT follow 256 acl2_seed 2 0.5 -0.1 1 0.75 1000 88.61955531250001 6.635669999999999 399.341 1001.0 972 1020
RESULT follow 256 acl2_seed 2 0.5 -0.1 1 1 1000 82.2676125 13.2022 422.144 1003.125 984 1024
RESULT follow 256 acl3_seed 2 0.5 -0.1 1 0.1 1000 119.37679375 32.1462 147.138 1022.5 1016 1024
RESULT follow 256 acl3_seed 2 0.5 -0.1 1 0.25 1000 73.5886153125 6.842789999999999 97.1805 1021.125 1012 1024
RESULT follow 256 acl3_seed 2 0.5 -0.1 1 0.5 1000 47.806825 19.2213 95.5054 1022.875 1016 1024
RESULT follow 256 acl3_seed 2 0.5 -0.1 1 0.75 1000 31.47097875 3.08262 45.0421 1022.875 1020 1024
RESULT follow 256 acl3_seed 2 0.5 -0.1 1 1 1000 32.485410312499994 4.76125 175.75599999999997 1022.5 1012 1024
RESULT follow 256 acl4_seed 2 0.5 -0.1 1 0.1 1000 113.03084374999999 14.5827 147.596 1022.5 1016 1024
RESULT follow 256 acl4_seed 2 0.5 -0.1 1 0.25 1000 68.8760628125 2.1097099999999998 96.3833 1021.875 1012 1024
RESULT follow 256 acl4_seed 2 0.5 -0.1 1 0.5 1000 40.6596665625 5.85573 57.7293 1022.125 1012 1024
RESULT follow 256 acl4_seed 2 0.5 -0.1 1 0.75 1000 30.581105625000003 4.6397900000000005 53.3534 1021.25 1012 1024
RESULT follow 256 acl4_seed 2 0.5 -0.1 1 1 1000 25.246695624999997 2.95968 60.3289 1022.125 1012 1024
RESULT follow 256 acl5_seed 2 0.5 -0.1 1 0.1 1000 116.90785687500001 1.55972 142.317 992.125 924 1024
RESULT follow 256 acl5_seed 2 0.5 -0.1 1 0.25 1000 62.8624125 10.6759 87.3469 1002.125 912 1024
RESULT follow 256 acl5_seed 2 0.5 -0.1 1 0.5 1000 35.2885725 1.3406200000000001 51.9747 995.875 900 1024
RESULT follow 256 acl5_seed 2 0.5 -0.1 1 0.75 1000 21.529642187500002 3.77264 34.5532 998.625 912 1020
RESULT follow 256 acl5_seed 2 0.5 -0.1 1 1 1000 20.508730625 1.25671 28.3656 997.125 860 1024
RESULT follow 256 fw1_seed 2 0.5 -0.1 1 0.1 1000 137.339128125 34.6247 187.761 912.375 848 988
RESULT follow 256 fw1_seed 2 0.5 -0.1 1 0.25 1000 98.19630000000001 2.0247 145.474 904.125 792 992
RESULT follow 256 fw1_seed 2 0.5 -0.1 1 0.5 1000 83.941015625 18.7656 217.84900000000002 889.875 812 960
RESULT follow 256 fw1_seed 2 0.5 -0.1 1 0.75 1000 78.5419875 3.5975 253.94 897.375 764 964
RESULT follow 256 fw1_seed 2 0.5 -0.1 1 1 1000 74.169703125 15.1499 328.051 890.625 752 948
RESULT follow 256 fw2_seed 2 0.5 -0.1 1 0.1 1000 132.52230624999999 34.1377 169.935 926.625 828 984
RESULT follow 256 fw2_seed 2 0.5 -0.1 1 0.25 1000 106.6288959375 9.82307 158.483 945.125 904 996
RESULT follow 256 fw2_seed 2 0.5 -0.1 1 0.5 1000 86.816924375 3.12658 159.59 928.75 856 996
RESULT follow 256 fw2_seed 2 0.5 -0.1 1 0.75 1000 80.8124375 29.5531 120.13799999999999 935.625 892 976
RESULT follow 256 fw2_seed 2 0.5 -0.1 1 1 1000 70.905161875 9.19018 122.256 932.75 892 976
RESULT follow 256 fw3_seed 2 0.5 -0.1 1 0.1 1000 139.59994375 28.8972 218.783 906.0 860 944
RESULT follow 256 fw3_seed 2 0.5 -0.1 1 0.25 1000 119.14114375 12.7396 204.53 921.25 876 976
RESULT follow 256 fw3_seed 2 0.5 -0.1 1 0.5 1000 102.004453125 29.1394 353.499 905.375 868 968
RESULT follow 256 fw3_seed 2 0.5 -0.1 1 0.75 1000 83.1867125 10.9313 151.411 911.0 880 956
RESULT follow 256 fw3_seed 2 0.5 -0.1 1 1 1000 92.1146875 12.2896 418.472 904.625 824 972
RESULT follow 256 fw4_seed 2 0.5 -0.1 1 0.1 1000 145.080159375 21.3035 207.983 961.5 924 996
RESULT follow 256 fw4_seed 2 0.5 -0.1 1 0.25 1000 97.28485 33.1591 144.249 965.0 924 1004
RESULT follow 256 fw4_seed 2 0.5 -0.1 1 0.5 1000 88.4902125 20.0671 126.194 959.0 888 992
RESULT follow 256 fw4_seed 2 0.5 -0.1 1 0.75 1000 84.91128437500001 17.1737 238.72 958.625 912 996
RESULT follow 256 fw4_seed 2 0.5 -0.1 1 1 1000 83.6907 14.9308 180.417 959.375 928 996
RESULT follow 256 fw5_seed 2 0.5 -0.1 1 0.1 1000 153.85030625000002 77.8138 178.86599999999999 931.5 876 968
RESULT follow 256 fw5_seed 2 0.5 -0.1 1 0.25 1000 128.735859375 12.5743 222.805 933.0 884 976
RESULT follow 256 fw5_seed 2 0.5 -0.1 1 0.5 1000 113.6474884375 7.04303 340.251 931.75 892 984
RESULT follow 256 fw5_seed 2 0.5 -0.1 1 0.75 1000 111.603390625 25.1695 272.618 934.0 884 984
RESULT follow 256 fw5_seed 2 0.5 -0.1 1 1 1000 111.43012875 8.22842 319.921 932.375 876 992
RESULT follow 256 ipc1_seed 2 0.5 -0.1 1 0.1 1000 124.47895625 31.9576 160.355 1018.5 1008 1024
RESULT follow 256 ipc1_seed 2 0.5 -0.1 1 0.25 1000 79.16140937499999 15.0007 105.985 1018.0 1000 1024
RESULT follow 256 ipc1_seed 2 0.5 -0.1 1 0.5 1000 59.440081250000006 21.1198 88.8274 1018.125 996 1024
RESULT follow 256 ipc1_seed 2 0.5 -0.1 1 0.75 1000 46.727630312500004 1.03891 119.574 1016.5 1000 1024
RESULT follow 256 ipc1_seed 2 0.5 -0.1 1 1 1000 38.824923749999996 7.28953 84.9416 1017.75 1000 1024
RESULT follow 256 ipc2_seed 2 0.5 -0.1 1 0.1 1000 96.539425 23.0119 147.374 733.5 580 888
RESULT follow 256 ipc2_seed 2 0.5 -0.1 1 0.25 1000 84.93242375 2.42124 170.925 753.375 608 928
RESULT follow 256 ipc2_seed 2 0.5 -0.1 1 0.5 1000 70.2832815625 8.135010000000001 224.12900000000002 744.625 576 892
RESULT follow 256 ipc2_seed 2 0.5 -0.1 1 0.75 1000 53.9367825 1.98085 102.083 749.375 608 928
RESULT follow 256 ipc2_seed 2 0.5 -0.1 1 1 1000 60.02454374999999 29.0445 95.7556 757.75 612 920
RESULT followfast 256 acl1_seed 2 0.5 -0.1 1 0.1 1000 58.3813240625 5.67627 72.1219 3655.375 2472 5452
RESULT followfast 256 acl1_seed 2 0.5 -0.1 1 0.25 1000 31.2041478125 2.80361 46.637 3758.0 2436 4960
RESULT followfast 256 acl1_seed 2 0.5 -0.1 1 0.5 1000 32.60265749999999 5.02904 249.558 3825.25 2608 5768
RESULT followfast 256 acl1_seed 2 0.5 -0.1 1 0.75 1000 16.038500625 1.59398 30.9305 3868.125 2412 6128
RESULT followfast 256 acl1_seed 2 0.5 -0.1 1 1 1000 13.3205653125 2.32673 19.1762 3704.25 2560 5680
RESULT followfast 256 acl2_seed 2 0.5 -0.1 1 0.1 1000 77.627334375 44.7254 188.957 11080.75 7920 13192
RESULT followfast 256 acl2_seed 2 0.5 -0.1 1 0.25 1000 48.43439 3.9701800000000005 92.8688 11127.75 7832 15176
RESULT followfast 256 acl2_seed 2 0.5 -0.1 1 0.5 1000 38.06175625 2.89506 85.8008 10996.375 7572 16176
RESULT followfast 256 acl2_seed 2 0.5 -0.1 1 0.75 1000 37.982281562500006 2.59191 62.0052 10922.875 7740 13920
RESULT followfast 256 acl2_seed 2 0.5 -0.1 1 1 1000 37.566426250000006 6.50277 198.639 10794.25 6908 14140
RESULT followfast 256 acl3_seed 2 0.5 -0.1 1 0.1 1000 60.2584628125 1.7160099999999998 78.5453 3216.5 2656 4240
RESULT followfast 256 acl3_seed 2 0.5 -0.1 1 0.25 1000 36.2341403125 4.23339 48.2096 3225.0 2484 4884
RESULT followfast 256 acl3_seed 2 0.5 -0.1 1 0.5 1000 20.4395265625 1.35994 30.7563 3376.5 2456 5476
RESULT followfast 256 acl3_seed 2 0.5 -0.1 1 0.75 1000 18.1919209375 1.37137 23.7144 3427.75 2600 4844
RESULT followfast 256 acl3_seed 2 0.5 -0.1 1 1 1000 14.9056009375 7.618469999999999 24.3822 3472.125 2640 4660
RESULT followfast 256 acl4_seed 2 0.5 -0.1 1 0.1 1000 61.5077246875 7.32339 77.6649 3226.75 2528 5440
RESULT followfast 256 acl4_seed 2 0.5 -0.1 1 0.25 1000 36.5140521875 7.18315 51.2811 2988.125 2380 3956
RESULT followfast 256 acl4_seed 2 0.5 -0.1 1 0.5 1000 22.3933690625 5.77405 59.5428 3168.25 2340 4708
RESULT followfast 256 acl4_seed 2 0.5 -0.1 1 0.75 1000 16.3289259375 1.37468 23.4926 3196.875 2376 5460
RESULT followfast 256 acl4_seed 2 0.5 -0.1 1 1 1000 13.5711715625 3.1482200000000002 25.9727 3115.0 2384 4292
RESULT followfast 256 acl5_seed 2 0.5 -0.1 1 0.1 1000 56.423055937499996 1.11679 72.5671 2021.625 1912 2068
RESULT followfast 256 acl5_seed 2 0.5 -0.1 1 0.25 1000 28.270428125000002 10.0806 41.8847 2017.5 1792 2080
RESULT followfast 256 acl5_seed 2 0.5 -0.1 1 0.5 1000 17.421460625 6.80032 25.1301 2011.875 1908 2064
RESULT followfast 256 acl5_seed 2 0.5 -0.1 1 0.75 1000 12.5969009375 2.59951 17.97 2011.5 1908 2072
RESULT followfast 256 acl5_seed 2 0.5 -0.1 1 1 1000 10.8808421875 1.61542 13.968 2027.375 1924 2072
RESULT followfast 256 fw1_seed 2 0.5 -0.1 1 0.1 1000 65.64622187500001 13.6522 89.2182 11266.75 8012 15464
RESULT followfast 256 fw1_seed 2 0.5 -0.1 1 0.25 1000 49.5915990625 2.96687 70.693 11040.625 7348 15832
RESULT followfast 256 fw1_seed 2 0.5 -0.1 1 0.5 1000 40.396904375000005 3.93791 80.1952 11066.875 7676 15164
RESULT followfast 256 fw1_seed 2 0.5 -0.1 1 0.75 1000 34.026525937500004 7.018860000000001 55.0801 11642.5 7316 14404
RESULT followfast 256 fw1_seed 2 0.5 -0.1 1 1 1000 37.298681875 4.64722 75.753 11595.75 7960 15668
RESULT followfast 256 fw2_seed 2 0.5 -0.1 1 0.1 1000 76.78379375 13.1058 105.83 12796.0 9340 17308
RESULT followfast 256 fw2_seed 2 0.5 -0.1 1 0.25 1000 56.0322928125 8.14747 169.00900000000001 12824.25 8728 15704
