RESULT ALG Threads rulesetSize seed PA PB AvgCostPerReq AvgReqPerCost MaxCostPerReq MaxReqPerCost
RESULT follow 1 1000 acl1_seed 10 100 26.717053125000003 0.038437012500000006 26.717053125000003 0.0584633
RESULT follow 2 1000 acl1_seed 10 100 14.970691562499999 0.07209843125 31.597628125 0.0572495
RESULT follow 4 1000 acl1_seed 10 100 6.5943950000000005 0.15686478125 30.435728124999997 0.047788
RESULT follow 8 1000 acl1_seed 10 100 2.29099 0.45206131250000003 45.431990625 0.0462194
RESULT follow 16 1000 acl1_seed 10 100 0.8450471875 1.21361328125 57.74703125 0.046455199999999995
RESULT follow 32 1000 acl1_seed 10 100 0.27684415625000003 3.66407 85.538646875 0.0260868
RESULT follow 64 1000 acl1_seed 10 100 0.1041913 9.64712625 144.860025 0.015288
RESULT followfast 1 1000 acl1_seed 10 100 15.241178125000001 0.06736427187499999 15.241178125000001 0.08989420000000001
RESULT followfast 2 1000 acl1_seed 10 100 7.495067499999999 0.13947014375 15.5412046875 0.103123
RESULT followfast 4 1000 acl1_seed 10 100 3.6655081249999997 0.28494918750000003 16.97296875 0.0947869
RESULT followfast 8 1000 acl1_seed 10 100 1.2759535937500002 0.80138696875 23.592774999999996 0.06431150000000001
RESULT followfast 16 1000 acl1_seed 10 100 0.4688456875 2.171683125 31.092446875 0.08647339999999999
RESULT followfast 32 1000 acl1_seed 10 100 0.15813284375 6.360110000000001 52.260112500000005 0.0432772
RESULT followfast 64 1000 acl1_seed 10 100 0.062405334374999996 16.125040625 69.963690625 0.0464923
RESULT list 1 1000 acl1_seed 10 100 470.9799375 0.0021245662500000003 470.9799375 0.00226084
RESULT list 2 1000 acl1_seed 10 100 236.73353125 0.004225857812499999 475.72390625 0.00219336
RESULT list 4 1000 acl1_seed 10 100 117.87078125 0.008487199062500003 482.60934375 0.00219055
RESULT list 8 1000 acl1_seed 10 100 58.662103125 0.017060153124999998 515.71521875 0.00205939
RESULT list 16 1000 acl1_seed 10 100 29.033084375 0.0344687125 547.9878437499999 0.00200282
RESULT list 32 1000 acl1_seed 10 100 14.409421875 0.06943551249999999 609.9440625 0.00184063
RESULT list 64 1000 acl1_seed 10 100 6.9911871875 0.1432114375 697.1273125 0.00162201
RESULT efficuts 1 1000 acl1_seed 10 100 16.213974999999998 0.06655225625000001 16.213974999999998 0.099985
RESULT efficuts 2 1000 acl1_seed 10 100 7.2292740625 0.143839378125 14.501387812499999 0.10267799999999999
RESULT efficuts 4 1000 acl1_seed 10 100 3.5881806249999997 0.28918853125 14.525584375000001 0.096692
RESULT efficuts 8 1000 acl1_seed 10 100 1.9594862499999999 0.548414875 16.25000875 0.10314200000000001
RESULT efficuts 16 1000 acl1_seed 10 100 0.9371706874999999 1.12716340625 15.928865625 0.0874567
RESULT efficuts 32 1000 acl1_seed 10 100 0.4464524375 2.321394375 15.854981250000002 0.0905481
RESULT efficuts 64 1000 acl1_seed 10 100 0.2156694375 4.7870396875 16.013928125 0.0857725
RESULT hypercuts 1 1000 acl1_seed 10 100 13.944443750000001 0.07200087499999999 13.944443750000001 0.0831501
RESULT hypercuts 2 1000 acl1_seed 10 100 6.930745937499999 0.14533584375 13.916478125 0.0881025
RESULT hypercuts 4 1000 acl1_seed 10 100 3.4341921875 0.2924754375 13.984378125 0.0819037
RESULT hypercuts 8 1000 acl1_seed 10 100 1.7663184375 0.56852096875 14.754834375 0.083478
RESULT hypercuts 16 1000 acl1_seed 10 100 0.8675446250000001 1.1603653125 15.034115625 0.08300880000000001
RESULT hypercuts 32 1000 acl1_seed 10 100 0.427794 2.34990625 15.440765625 0.0800948
RESULT hypercuts 64 1000 acl1_seed 10 100 0.22262865625 4.515258125 17.239275 0.0761682
RESULT hicuts 1 1000 acl1_seed 10 100 13.250746875 0.07577809375 13.250746875 0.08785549999999999
RESULT hicuts 2 1000 acl1_seed 10 100 6.8366934375 0.14734312500000002 13.736565624999999 0.09223110000000001
RESULT hicuts 4 1000 acl1_seed 10 100 3.3068771875000005 0.30497815625 13.457134374999999 0.08595789999999999
RESULT hicuts 8 1000 acl1_seed 10 100 1.65893625 0.6063966249999999 13.953603125 0.086126
RESULT hicuts 16 1000 acl1_seed 10 100 0.84360775 1.192844375 14.602715625 0.0803058
RESULT hicuts 32 1000 acl1_seed 10 100 0.41941740625 2.3967971875 15.293575 0.08162439999999999
RESULT hicuts 64 1000 acl1_seed 10 100 0.20592634375000002 4.8825203125 16.201203125 0.0717348
